employee_id,age,experience_years,role,work_hours_per_day,days_worked_per_week,overtime_hours,lunch_break_minutes,coffee_breaks_per_day,punctuality_score,attendance_rate,late_arrivals,biometric_match_score,emails_sent,emails_received,email_response_time,after_hours_emails,meetings_per_week,meeting_hours,meeting_acceptance_rate,declined_meetings,focus_time_hours,messages_sent,messages_received,after_hours_messages,response_time_minutes,reactions_given,status_available_percentage,status_busy_percentage,status_away_percentage,commits_per_week,prs_created,prs_reviewed,code_review_time_hours,pr_merge_rate,avg_pr_size_lines,github_pr_merge_time,tasks_assigned,tasks_completed_per_week,task_completion_rate,overdue_tasks,avg_task_completion_time,hours_logged,projects_active,context_switches_per_day,bugs_reported,bugs_fixed,document_edits,shared_files,work_pattern_consistency,after_hours_activity_ratio,communication_balance,meeting_to_work_ratio,code_commit_consistency,task_velocity,collaboration_score,peer_interaction_frequency,message_after_hours_ratio,email_after_hours_ratio,weekend_work_hours,daily_active_hours,work_life_balance_score,days_off_taken,sick_days,tools_used,tool_switch_frequency,training_hours,documentation_contributions,team_size,one_on_ones_conducted,deliverables_completed,quality_score,average_email_length,average_message_length,sentiment_email_score,sentiment_chat_score,voluntary_contributions,initiative_score,unique_contacts_per_week,cross_team_interactions,code_review_comments_received,refactoring_commits,blocked_time_hours,dependency_wait_time_hours,new_ideas_proposed,experiments_run,avg_first_response_time_hours,response_rate,meeting_preparation_score,meeting_participation_score,interruptions_per_day,deep_work_blocks,concurrent_tasks,task_switching_rate,urgent_tasks_percentage,tasks_completed_early,mentor_hours_per_week,knowledge_base_contributions,process_compliance_score,documentation_quality_score,morning_productivity_score,afternoon_productivity_score,informal_chats_per_week,team_engagement_score,self_directed_work_percentage,decision_making_authority_score,feedback_received_count,feedback_given_count,new_technologies_learned,skill_utilization_score,burnout_risk_score,wellbeing_score,efficiency_score
EMP034,38,14,Senior Developer,8.53,5,1.29,45,0,71.7,98.84,2,96.1,18,47,7.89,4,5,5.72,91.62,0,6.64,38,76,12,14.4,27,68.23,23.39,8.38,4,1,3,1.27,77.46,100,4.61,5,3,60.0,0,11.84,36.99,1,2.87,1,0,11,1,91.78,0.2807,2.0,0.6698,0.83,0.0703,10.33,13.6,0.3077,0.2105,0.0,8.79,93.68,1,1,3,31.63,0.44,4,0,0,3.5,65.64,161.84,18.42,70.22,86.57,0,52.77,2,0,4,0,0.64,0.35,1,1,2.96,89.77,28.98,51.68,3,3,3,0.3361,25.84,0,0.03,0,79.48,52.0,79.47,44.97,4,67.83,67.83,77.65,1,0,2,74.77,0.188,83.9,51.71
EMP035,38,5,Developer,8.68,5,4.18,45,2,84.61,96.87,1,86.69,18,39,17.39,3,2,2.87,66.58,0,7.35,19,38,2,36.95,14,59.05,16.74,24.21,5,1,3,2.16,78.99,32,5.48,6,4,66.67,0,30.0,41.27,1,4.96,4,2,10,1,81.57,0.1316,1.0,0.3314,0.67,0.0922,6.0,7.2,0.1,0.1579,0.0,9.51,87.9,1,0,5,33.7,0.21,0,0,0,4.5,81.7,103.87,14.82,63.7,71.35,2,61.05,2,0,6,1,0.72,0.24,0,0,11.25,85.18,65.91,48.36,1,3,3,0.5714,23.28,1,0.45,0,73.92,42.2,67.94,59.2,18,80.67,31.88,15.25,1,0,0,80.55,0.1435,86.08,62.59
EMP036,28,6,Senior Developer,9.97,5,1.34,60,1,60.91,80.89,3,98.14,18,13,21.77,3,2,2.23,58.54,0,8.53,46,89,15,12.6,26,81.22,24.66,-5.88,4,1,5,5.39,89.95,128,18.62,4,4,100.0,0,30.0,46.54,4,15.92,1,0,5,1,83.65,0.2769,2.42,0.2237,0.91,0.0802,10.67,15.4,0.3191,0.1579,0.0,10.24,82.07,1,0,6,38.24,0.2,1,3,3,4.5,75.22,233.69,20.09,77.06,46.96,1,82.39,3,0,2,0,0.46,1.31,3,1,12.65,93.55,51.11,28.94,5,4,3,1.5967,31.83,1,0.13,0,85.63,65.14,63.71,45.08,2,65.04,62.92,86.73,1,1,0,58.66,0.5041,74.14,68.39
EMP037,40,2,QA Engineer,9.26,5,3.68,30,1,87.73,75.13,1,97.59,8,29,12.75,1,5,7.4,72.2,1,7.28,18,28,2,22.59,3,59.98,21.08,18.94,0,0,0,0.0,0.0,0,0.0,6,5,83.33,0,12.81,44.93,1,4.46,0,0,11,1,90.0,0.1111,2.0,0.7989,0.0,0.108,1.33,4.2,0.1053,0.1111,0.0,9.99,84.05,0,0,7,70.21,0.54,3,0,0,5.0,57.16,94.3,37.8,35.76,54.8,0,6.19,5,1,0,0,0.46,1.45,1,1,5.98,89.64,56.11,69.75,2,3,2,0.4813,37.89,2,0.0,0,94.38,40.03,76.16,34.58,10,41.45,47.95,37.85,0,2,0,59.59,0.5612,70.19,5.33
EMP038,25,2,Tech Lead,9.12,5,3.47,30,1,88.67,88.73,1,96.65,31,36,7.51,5,7,6.15,49.43,3,7.39,38,57,10,9.82,12,53.13,18.76,28.12,9,2,2,0.82,88.94,354,6.33,6,5,83.33,0,18.59,47.63,2,9.97,1,1,2,3,47.38,0.2143,1.19,0.6748,0.71,0.1097,5.67,10.4,0.2564,0.1562,0.0,9.81,85.51,0,0,4,31.41,0.79,2,5,5,6.0,94.1,121.81,39.47,75.05,33.05,4,59.34,2,0,5,1,0.31,0.88,2,0,3.2,76.03,52.85,76.69,3,3,2,1.0932,37.95,1,0.0,0,87.85,78.84,89.12,38.96,3,49.41,55.15,66.92,1,0,1,83.45,0.317,72.3,68.8
EMP039,30,2,Tech Lead,7.09,5,2.39,60,2,76.38,69.67,2,94.12,51,20,33.11,12,7,3.91,92.01,0,5.3,59,111,7,9.96,16,79.77,27.56,-7.32,9,1,0,0.0,91.5,93,4.51,4,3,75.0,0,28.63,32.42,1,2.22,2,2,2,4,82.12,0.1712,1.13,0.5515,0.72,0.0847,6.67,15.0,0.1167,0.2308,0.0,7.56,100.0,0,0,5,73.45,1.35,1,0,0,3.5,76.21,210.66,43.99,67.22,81.26,1,63.3,9,2,6,1,1.13,0.81,1,1,18.69,89.4,74.92,82.01,4,2,4,0.3129,12.2,1,0.0,0,52.15,57.63,45.53,36.74,3,60.09,45.13,46.51,1,1,0,24.82,0.1008,76.1,61.53
EMP040,32,10,Developer,6.59,5,2.16,45,0,72.76,90.89,2,91.28,16,51,41.77,1,2,2.18,94.93,0,5.41,41,62,13,37.33,23,64.28,13.83,21.89,5,1,5,2.23,90.79,237,6.46,3,3,100.0,0,30.0,25.22,2,8.43,3,4,3,1,88.92,0.2414,2.41,0.3314,0.85,0.091,9.67,13.8,0.3095,0.0588,0.0,7.03,100.0,1,2,6,61.1,0.31,0,0,0,3.5,62.66,227.78,12.08,81.04,69.0,0,60.36,1,0,6,0,1.28,0.12,1,0,20.97,86.26,83.16,68.22,4,2,2,1.2787,15.12,0,0.21,0,35.94,74.05,56.42,56.8,2,69.04,70.97,27.47,1,3,1,60.67,0.0,87.35,66.18
EMP041,30,6,Senior Developer,9.9,5,0.24,45,2,74.15,59.2,2,94.56,13,48,2.51,3,6,3.39,65.64,2,8.47,33,66,5,6.77,13,73.45,11.44,15.11,13,2,1,0.83,65.33,97,9.74,3,1,33.33,0,9.7,42.63,1,4.44,2,1,13,10,89.18,0.1702,2.36,0.342,0.77,0.0202,8.0,9.4,0.1471,0.2143,0.0,9.95,84.41,0,0,5,58.78,0.75,1,0,0,2.0,87.15,226.5,19.37,88.04,54.01,0,31.62,1,0,7,3,0.58,0.44,2,1,1.65,82.83,79.83,57.52,3,4,2,0.4485,14.52,0,0.21,0,21.61,74.38,85.93,49.45,4,29.06,74.39,69.26,2,1,0,66.56,0.4432,66.87,54.54
EMP042,30,5,Developer,9.24,5,9.37,30,2,46.53,88.57,5,90.41,10,36,27.26,1,4,3.99,98.1,0,7.94,20,36,4,3.37,13,70.97,26.15,2.88,20,4,5,1.97,74.74,146,20.12,4,2,50.0,0,15.17,38.38,2,9.58,2,1,7,1,82.09,0.1613,1.82,0.4317,0.82,0.0433,6.33,7.6,0.1905,0.0909,4.61,11.11,75.08,0,0,5,52.38,0.51,0,0,0,4.0,76.32,225.32,41.56,78.08,49.17,0,41.75,3,0,23,3,0.5,0.24,1,1,9.41,68.41,48.14,17.88,2,3,2,1.0371,21.83,0,0.04,0,60.89,50.72,74.18,42.82,1,60.04,75.1,45.85,2,2,0,80.78,0.488,72.55,60.17
EMP043,35,1,Senior Developer,9.63,6,5.46,45,1,91.12,86.45,0,85.29,14,46,11.29,3,4,5.4,78.63,0,7.98,27,61,5,7.64,20,56.11,16.45,27.44,12,2,3,4.25,94.08,20,7.35,5,4,80.0,0,7.55,43.74,3,11.24,0,0,9,0,79.62,0.1905,1.8,0.5605,0.6,0.0692,7.67,8.33,0.1786,0.2,2.14,10.54,79.64,0,0,5,46.86,0.16,1,0,0,5.0,67.79,151.85,17.1,81.3,85.91,0,42.9,8,2,5,2,0.07,0.63,1,0,7.07,47.73,51.37,73.11,4,3,2,1.1669,33.64,2,0.0,1,83.64,62.14,73.37,70.62,1,79.81,77.73,63.38,2,0,1,39.28,0.4542,68.18,62.36
EMP044,45,7,Developer,8.31,5,2.58,30,3,96.3,89.89,0,91.55,20,8,4.16,5,3,2.87,79.16,0,7.24,10,18,3,52.09,5,79.13,19.88,0.99,14,3,1,0.81,79.46,51,3.07,15,11,73.33,1,30.0,29.83,1,3.37,2,2,3,0,89.51,0.2581,0.48,0.345,0.8,0.2647,2.0,3.2,0.2727,0.2381,0.0,8.83,93.39,1,0,4,55.4,0.43,0,0,0,12.5,58.54,153.23,31.5,86.38,89.58,0,35.82,0,0,15,3,0.22,2.63,0,1,1.52,80.35,51.29,54.58,1,3,3,0.4058,14.51,2,0.63,0,89.73,74.43,47.64,48.89,1,73.47,71.93,81.79,0,0,0,45.28,0.3503,82.11,88.82
EMP045,35,4,Developer,9.43,5,5.4,60,2,64.65,88.61,3,92.22,9,23,34.63,1,2,2.61,94.39,0,7.91,41,54,6,4.94,21,84.29,15.37,0.34,13,1,1,0.34,69.26,167,2.9,2,1,50.0,0,16.29,39.31,2,7.42,2,2,3,3,91.92,0.1373,4.1,0.2769,0.69,0.0212,8.33,12.6,0.1429,0.1,1.31,10.51,79.9,1,1,3,41.53,0.99,1,12,12,1.5,82.26,254.06,49.53,73.68,71.79,3,74.93,3,1,2,3,0.17,2.16,1,1,15.88,95.85,80.2,70.85,2,3,2,0.787,34.71,0,0.86,1,92.36,45.07,59.01,41.63,2,87.86,66.53,54.63,1,2,0,67.51,0.2722,83.54,55.94
EMP046,30,3,Designer,8.23,5,9.35,60,2,86.51,77.66,1,95.54,9,20,16.42,2,4,2.02,97.34,0,6.83,10,13,1,5.09,1,61.48,23.21,15.31,0,0,2,1.0,0.0,0,0.0,12,11,91.67,0,11.72,35.26,3,13.23,2,2,3,0,81.39,0.15,1.0,0.2451,0.0,0.2672,1.0,2.6,0.0909,0.2,4.1,10.11,83.16,0,0,6,33.76,0.85,1,5,5,11.0,65.42,202.2,17.17,67.68,61.98,2,63.46,2,0,0,0,0.36,2.04,0,0,9.94,70.19,46.21,73.68,0,3,2,1.6062,31.13,4,0.0,1,90.73,55.54,53.48,52.81,9,64.01,79.99,50.21,3,2,0,86.1,0.2431,74.58,0.14
EMP047,32,8,Tech Lead,7.96,5,14.76,45,2,91.94,85.67,0,95.21,5,42,12.17,0,1,0.74,89.14,0,7.06,7,12,0,33.61,1,70.01,15.07,14.91,10,3,2,2.97,81.14,64,5.38,4,3,75.0,0,24.98,34.5,1,4.07,2,2,1,3,60.25,0.0,1.17,0.0931,0.98,0.0753,2.0,2.0,0.0,0.0,4.9,10.91,76.69,2,2,5,51.01,0.17,0,0,0,4.5,89.74,226.23,13.41,60.93,56.98,1,63.41,6,1,23,2,0.41,0.69,0,0,8.38,65.13,42.52,73.38,0,3,2,0.5108,14.7,1,0.23,0,74.15,72.97,72.19,41.77,6,29.85,48.68,50.1,1,1,0,73.3,0.3566,70.44,66.56
EMP048,48,11,Developer,8.47,5,1.01,60,2,87.87,98.12,1,87.3,5,24,15.51,1,0,0.0,93.65,0,7.47,10,21,3,7.14,6,52.78,19.76,27.46,14,2,1,1.38,36.1,107,9.19,8,7,87.5,0,10.99,34.05,2,6.8,2,2,10,4,90.74,0.25,1.67,0.0,0.82,0.1653,3.67,3.4,0.2727,0.1667,0.0,8.67,94.61,0,0,5,71.36,0.44,1,3,3,8.0,83.76,169.74,45.88,68.26,67.35,0,13.73,8,2,11,1,0.25,3.9,1,0,7.9,84.32,86.92,40.01,1,3,2,0.8031,16.44,3,0.21,1,67.77,68.37,83.6,65.07,3,53.27,38.02,57.29,2,3,1,64.08,0.2789,78.39,87.28
EMP049,28,6,Senior Developer,9.19,5,1.99,30,1,69.91,77.7,3,89.48,25,15,48.0,5,5,2.79,82.39,0,8.13,64,118,8,36.2,20,66.83,29.84,3.33,7,1,8,3.58,64.61,65,20.91,7,5,71.43,0,10.52,50.39,1,2.22,3,2,4,0,50.21,0.1444,2.46,0.3036,0.83,0.1089,9.33,18.4,0.1231,0.1923,0.0,9.59,87.32,1,1,6,85.99,0.54,1,8,8,5.5,77.17,81.09,18.57,77.92,67.26,2,19.84,4,1,5,1,0.02,0.58,2,1,16.31,90.3,88.65,73.5,7,4,2,0.2413,29.14,2,0.24,2,68.84,74.47,56.71,69.28,0,36.64,74.68,75.87,2,3,0,78.45,0.3297,76.94,68.06
EMP050,38,7,Manager,8.98,5,3.19,45,3,78.99,93.6,2,90.71,2,38,6.0,0,1,1.27,93.28,0,7.97,55,115,12,61.43,34,69.56,22.5,7.95,0,0,0,0.0,0.0,0,0.0,2,2,100.0,0,10.85,32.17,1,4.07,3,1,5,1,59.79,0.2069,18.33,0.1419,0.0,0.0445,11.67,17.8,0.2143,0.0,0.0,9.62,87.06,1,0,5,30.06,1.03,2,0,0,2.0,95.58,147.94,33.08,58.95,76.07,2,45.11,2,0,0,0,0.18,0.23,3,0,3.78,85.35,84.41,58.43,8,3,3,0.4532,32.38,1,0.41,0,64.46,68.78,69.47,65.94,2,65.44,43.28,79.6,1,1,0,88.2,0.0371,90.43,13.1
EMP051,40,17,Developer,8.67,5,3.88,45,2,65.6,69.98,3,92.42,9,60,29.53,1,0,0.0,70.14,0,7.92,62,147,16,21.73,48,62.9,29.2,7.9,9,2,4,2.5,85.12,120,22.24,4,2,50.0,0,15.59,42.52,2,8.37,0,0,6,3,71.21,0.2361,6.2,0.0,0.78,0.0461,18.33,22.8,0.254,0.1,0.0,9.45,88.43,0,0,7,40.33,0.35,2,8,8,3.0,78.75,277.7,43.86,47.32,56.97,2,39.63,17,6,12,2,0.34,1.12,1,0,12.49,87.14,33.2,53.49,9,3,2,0.9655,34.32,0,0.11,0,84.29,30.41,89.12,59.31,4,86.52,57.44,42.64,3,0,0,47.74,0.1981,88.54,60.35
EMP052,30,3,Developer,7.41,5,12.13,45,3,93.53,59.55,0,91.7,10,35,22.63,1,3,2.61,65.91,1,6.14,54,97,10,2.59,17,71.15,27.6,1.26,4,1,0,0.0,94.39,158,3.98,3,2,66.67,0,15.25,26.96,3,13.28,2,2,4,7,66.58,0.1692,4.91,0.3519,0.87,0.054,8.0,14.2,0.1818,0.0909,4.07,9.83,85.33,0,0,6,35.65,0.5,0,3,3,2.5,70.05,95.09,43.66,67.16,64.08,3,73.47,9,2,7,0,0.54,1.81,0,0,10.92,76.42,43.11,77.16,5,3,2,1.7927,12.18,0,0.0,1,75.81,82.09,49.27,33.24,0,71.36,38.01,78.33,0,2,0,77.79,0.4319,70.99,52.22
EMP053,30,6,Tech Lead,7.54,5,2.66,30,2,80.94,91.23,1,89.67,18,31,26.63,1,4,5.8,88.95,0,5.88,53,104,7,13.69,21,62.18,19.38,18.44,4,1,2,2.89,71.17,91,3.37,6,3,50.0,1,30.0,34.44,1,3.02,4,2,1,0,95.06,0.1111,2.79,0.7688,0.98,0.0796,7.67,15.2,0.1296,0.0526,0.0,8.07,99.42,1,0,5,64.55,0.36,0,3,3,3.5,78.5,135.78,19.68,66.31,73.91,1,48.13,6,2,3,0,0.04,2.27,1,0,14.33,80.25,27.9,68.03,6,2,2,0.4007,13.96,1,0.33,1,58.02,65.66,67.78,73.03,6,83.62,59.0,52.88,1,1,0,74.93,0.1731,77.99,51.27
EMP054,45,21,Developer,7.08,6,2.61,30,2,85.72,75.34,1,97.54,21,23,8.34,3,4,4.94,51.76,1,5.76,38,84,6,4.63,22,70.13,12.62,17.25,4,1,2,1.63,59.81,109,5.32,10,8,80.0,0,6.87,41.14,2,9.59,4,5,12,3,56.55,0.15,1.73,0.6968,0.93,0.1882,9.0,10.33,0.1538,0.1364,0.0,7.52,100.0,0,1,5,66.13,0.16,0,0,0,8.5,96.84,152.57,14.26,69.96,45.97,0,59.71,13,5,7,1,0.2,0.8,2,0,3.52,81.92,48.81,85.1,4,2,3,1.3534,24.26,4,1.17,1,65.51,61.25,79.29,58.61,4,51.85,77.48,42.21,1,3,0,67.04,0.3181,71.33,75.08
EMP055,38,6,Senior Developer,10.2,5,2.11,45,1,74.94,97.38,2,89.29,9,33,8.2,2,5,6.65,77.96,1,8.12,49,69,5,5.25,13,81.79,11.94,6.27,4,1,12,4.03,77.94,171,46.95,3,3,100.0,0,8.93,52.52,1,2.68,0,0,4,0,42.79,0.1186,4.9,0.6521,0.71,0.0588,8.33,14.8,0.1,0.2,0.0,10.63,78.98,0,0,5,58.64,0.24,0,0,0,3.5,92.62,108.51,33.52,30.29,74.94,0,34.17,5,1,3,1,1.02,1.76,0,0,2.57,63.87,53.06,54.11,3,4,1,0.2629,28.22,1,0.6,0,77.2,64.55,63.05,44.44,4,64.09,76.1,27.79,1,0,2,54.32,0.516,59.88,62.68
EMP056,42,2,Designer,7.09,5,3.64,30,2,55.26,68.35,4,87.79,15,18,9.07,3,1,0.52,71.61,0,6.48,42,84,4,9.96,16,62.18,19.74,18.08,0,0,2,1.0,0.0,0,0.0,2,1,50.0,0,7.76,32.34,2,6.93,1,0,2,9,95.4,0.1207,2.62,0.0736,0.0,0.0282,9.0,12.0,0.093,0.1875,0.0,7.81,100.0,1,0,6,84.96,1.59,0,12,12,1.0,91.06,76.89,27.61,57.66,68.11,3,45.38,11,3,0,0,0.34,0.13,0,0,4.37,86.79,81.95,81.88,4,3,2,0.9784,35.81,0,0.0,1,97.43,52.29,71.25,26.39,3,38.24,40.59,39.45,2,2,3,53.99,0.0,77.04,2.68
EMP057,40,18,Developer,11.2,5,10.13,45,3,89.07,93.76,1,88.1,9,15,5.97,0,6,6.53,63.33,2,9.14,50,113,5,1.0,21,65.8,17.68,16.52,5,1,13,9.52,92.96,37,6.5,1,0,0.0,0,20.85,54.37,2,9.87,2,2,9,0,61.74,0.0833,5.0,0.5828,0.98,0.0,11.33,16.8,0.098,0.0,2.24,13.22,58.2,1,0,4,48.22,0.11,1,12,12,0.5,93.31,268.12,38.48,57.14,50.04,1,32.13,3,1,4,1,0.58,0.0,1,0,3.67,80.51,75.97,26.86,6,4,4,0.8813,24.81,0,0.22,2,54.12,63.97,74.19,32.02,0,70.04,60.51,39.24,0,3,0,75.95,0.5202,74.46,35.33
EMP058,45,20,Tech Lead,7.69,5,1.88,30,3,57.43,94.14,4,88.7,25,40,9.13,3,2,1.34,82.18,0,6.92,28,58,9,6.76,16,79.42,23.65,-3.07,5,1,2,2.9,92.28,209,8.61,2,2,100.0,0,7.41,27.31,3,11.4,2,2,5,6,86.44,0.2222,1.08,0.1738,0.89,0.052,8.0,9.2,0.3103,0.1154,0.0,8.07,99.47,1,0,4,52.32,0.09,2,0,0,2.5,84.7,199.78,49.69,70.73,57.43,2,63.16,10,3,6,1,0.03,0.69,1,0,3.51,95.27,81.54,84.18,2,3,4,1.4827,25.63,1,0.22,0,92.6,62.88,43.07,44.83,2,49.35,73.89,88.22,1,1,0,77.3,0.0146,81.25,67.97
EMP059,48,11,Tech Lead,8.95,6,10.37,45,1,82.26,95.79,1,87.51,5,17,13.22,1,5,3.54,81.25,0,7.61,12,21,3,1.88,6,59.29,21.44,19.27,7,1,6,8.22,82.41,20,18.61,4,3,75.0,0,26.99,47.69,1,4.65,2,1,8,0,77.53,0.2222,2.0,0.3958,0.91,0.0559,4.0,4.0,0.2308,0.1667,5.7,10.68,78.59,1,0,5,72.72,0.14,1,0,0,3.5,75.68,231.35,12.73,66.87,41.23,0,55.37,5,2,6,2,0.02,0.39,0,0,5.25,64.1,26.62,82.22,1,3,2,0.5192,20.93,0,0.45,0,80.75,85.47,60.51,62.68,5,56.82,41.34,34.48,1,2,0,72.73,0.4906,71.57,58.3
EMP060,48,11,Senior Developer,9.2,5,3.16,30,3,68.29,91.49,3,88.66,25,47,36.2,4,4,2.26,79.12,0,8.25,9,14,1,2.66,4,75.27,23.33,1.4,10,1,3,1.56,78.41,113,1.51,9,4,44.44,1,17.74,42.33,1,2.4,5,3,12,1,96.2,0.1429,0.35,0.2451,0.65,0.0869,2.67,3.2,0.1,0.1538,0.0,9.83,85.33,1,1,4,45.83,0.94,1,12,12,4.5,77.96,258.38,26.2,76.47,53.53,1,40.37,3,1,5,1,0.34,1.94,1,0,13.18,89.1,30.45,42.48,1,4,2,0.2605,10.3,1,0.16,0,80.79,61.29,39.84,40.2,3,43.67,47.5,84.91,2,2,0,68.4,0.2858,73.82,62.45
EMP061,30,1,Designer,9.44,5,2.24,60,2,48.38,96.03,5,89.35,25,53,29.17,3,4,4.79,95.89,0,7.48,10,24,2,16.97,8,73.66,17.14,9.2,0,0,1,0.5,0.0,0,0.0,5,5,100.0,0,17.47,45.68,3,9.58,2,2,1,6,59.39,0.1389,0.38,0.5081,0.0,0.106,5.0,3.8,0.1818,0.1154,0.0,9.88,84.93,1,1,5,59.78,1.29,1,3,3,5.0,95.17,55.77,15.34,33.91,35.65,2,61.63,3,0,0,0,1.21,0.74,1,0,10.28,62.45,34.16,73.2,1,3,3,1.0153,34.79,2,0.0,1,84.08,73.06,88.11,45.01,3,38.88,48.55,59.84,2,1,0,75.62,0.3184,84.17,9.51
EMP062,45,21,Developer,8.04,5,2.17,30,2,90.94,99.87,0,92.23,8,12,17.04,1,12,10.06,93.37,0,5.53,53,75,9,12.51,20,63.39,16.52,20.09,3,1,3,3.9,83.03,49,26.65,5,3,60.0,0,30.0,40.4,4,8.1,1,0,6,1,70.74,0.1613,5.89,1.2515,0.77,0.0746,8.0,15.2,0.1667,0.1111,0.0,8.48,96.19,0,0,5,38.56,0.18,1,0,0,3.5,65.59,189.6,11.24,27.41,18.73,1,52.11,6,2,7,0,0.0,1.34,1,0,10.71,95.06,32.49,34.78,3,2,3,1.0068,23.09,0,0.08,1,74.37,65.01,53.63,53.78,5,80.69,31.94,50.41,3,1,0,71.9,0.5084,74.64,43.7
EMP063,42,17,Senior Developer,8.33,5,0.57,60,0,90.85,98.12,0,97.46,3,11,9.33,0,7,4.51,84.11,1,6.42,40,54,5,1.58,20,76.29,21.8,1.91,6,1,8,9.4,84.22,66,22.09,4,3,75.0,0,29.33,32.46,2,8.53,2,1,4,2,62.14,0.1136,10.0,0.5422,0.91,0.0721,10.0,13.6,0.122,0.0,0.0,8.44,96.48,1,0,4,38.1,1.07,1,0,0,3.5,93.94,79.91,26.67,60.47,49.51,3,62.9,7,2,6,1,0.34,0.3,2,0,3.63,81.03,61.35,66.77,4,3,3,1.0249,17.13,0,0.3,0,85.22,48.43,71.31,50.5,0,59.28,54.13,51.6,1,0,0,77.8,0.3638,80.23,61.9
EMP064,48,1,Senior Developer,11.36,5,4.66,45,1,67.51,93.41,3,95.28,28,29,4.64,5,2,1.4,58.34,0,10.0,40,65,8,58.76,8,52.56,19.25,28.2,13,3,0,0.0,80.86,20,8.23,3,2,66.67,0,3.74,42.54,1,2.14,0,0,1,3,83.67,0.1884,1.38,0.1233,0.96,0.0352,3.67,9.6,0.1951,0.1724,0.0,12.29,65.7,0,1,5,49.78,0.35,0,0,0,3.5,57.84,265.76,31.02,72.29,64.26,1,47.04,7,1,21,3,0.89,1.37,0,0,3.12,94.36,45.94,85.33,3,5,1,0.1884,14.35,0,0.0,0,69.8,66.65,93.88,61.39,2,61.38,56.92,56.49,1,0,1,85.07,0.242,78.44,60.12
EMP065,35,13,Developer,7.34,5,2.51,30,3,78.72,78.46,2,98.46,22,23,2.39,6,2,1.3,62.16,0,6.58,10,20,2,4.78,2,74.34,15.05,10.61,3,1,3,2.95,81.26,41,9.46,2,1,50.0,0,30.0,34.85,2,8.28,1,0,3,2,71.4,0.2424,0.43,0.1766,0.92,0.0272,2.33,3.0,0.1818,0.2609,0.0,7.84,100.0,2,0,4,42.61,0.14,1,0,0,1.5,81.33,126.5,15.1,54.79,63.07,3,48.44,4,0,4,0,0.23,0.75,1,0,1.44,76.96,72.99,54.69,1,3,2,1.1285,13.0,0,0.45,0,75.2,53.3,74.88,44.03,5,54.67,61.44,49.69,2,2,0,57.42,0.0,92.04,52.62
EMP066,40,15,Senior Developer,8.21,5,2.8,60,2,84.54,62.03,1,95.59,10,26,19.69,2,5,3.07,87.21,0,6.59,15,19,4,23.48,4,61.32,27.13,11.54,10,1,15,12.42,92.13,38,4.58,7,4,57.14,0,9.18,34.11,1,2.47,1,0,5,2,41.14,0.2308,1.36,0.3744,0.65,0.0974,7.0,6.8,0.25,0.1818,0.0,8.77,93.84,0,1,5,46.11,0.48,1,0,0,4.5,65.05,150.33,11.13,68.57,80.86,3,46.31,2,0,6,2,0.04,1.26,0,1,12.14,70.7,62.4,85.45,0,3,2,0.3008,30.03,0,0.14,1,78.8,65.56,75.2,42.94,4,53.67,40.62,57.47,1,3,0,87.07,0.1653,87.01,61.33
EMP067,40,10,Senior Developer,6.1,5,13.08,30,0,76.43,94.21,2,95.74,10,45,10.85,0,3,1.84,92.93,0,5.23,37,81,12,6.94,25,81.35,14.73,3.93,15,2,1,0.66,76.18,136,2.33,1,0,0.0,0,21.25,24.18,3,13.52,1,1,2,2,55.7,0.25,3.36,0.3015,0.98,0.0,9.33,12.6,0.3158,0.0,6.69,8.71,94.29,1,0,7,40.1,0.81,0,0,0,1.0,86.29,150.76,47.86,81.14,67.05,2,39.74,11,4,9,3,1.29,1.37,1,1,4.37,66.57,38.51,58.92,4,2,3,2.217,24.75,0,0.0,1,76.79,75.17,75.8,56.52,9,72.83,74.0,45.88,2,1,0,52.77,0.3011,79.1,41.94
EMP068,42,12,Developer,6.65,5,12.91,45,2,87.06,90.61,1,88.13,25,36,4.16,3,7,7.87,78.72,1,4.32,69,101,12,2.44,24,84.62,27.78,-12.4,4,1,3,2.25,82.98,79,6.58,3,2,66.67,0,24.12,34.3,2,8.16,2,2,2,0,72.8,0.1579,2.65,1.1847,0.8,0.0602,9.0,19.2,0.1714,0.1154,4.62,9.23,90.17,0,1,6,55.9,0.15,0,0,0,2.5,62.03,241.25,48.18,63.15,61.29,1,87.03,17,7,6,0,1.62,1.59,0,0,2.48,75.32,27.93,19.98,4,2,2,1.2274,18.1,0,0.15,0,76.55,66.11,86.65,66.98,6,61.19,48.78,55.68,1,2,0,80.66,0.5918,75.55,40.35
EMP069,35,1,Senior Developer,6.47,5,3.81,60,2,87.77,87.91,1,95.23,5,47,4.8,0,2,1.18,78.59,0,5.24,18,23,2,14.67,7,78.15,14.14,7.7,4,1,2,1.9,80.09,153,3.13,4,4,100.0,0,16.11,33.85,1,4.97,1,1,0,1,78.15,0.0833,3.0,0.1817,0.61,0.1236,3.33,5.4,0.1053,0.0,0.0,7.24,100.0,0,0,4,27.68,0.53,0,0,0,4.5,55.46,113.81,13.57,67.85,64.01,3,26.82,13,5,7,0,0.75,2.27,0,1,1.55,75.6,62.49,60.34,1,2,1,0.7674,16.26,2,0.0,2,92.53,47.02,80.47,26.72,7,68.38,34.09,62.92,0,1,0,58.76,0.242,83.9,69.09
